Id_Offre;Titre;Id_Adresse;Id_Entreprise;Description;Date_Creation;Base_remuneration;Duree_semaines
59;Stage Développeur Frontend - F/H;7;17;Création d’interfaces utilisateur modernes en HTML CSS et JavaScript (React/Angular). Encadrement par un tuteur expérimenté et travail en méthodologie Agile (Scrum).;2025-12-18;815 € / mois;13
60;Stage Data Analyst - F/H;48;21;Analyse de données, création de dashboards et participation aux projets de data visualisation. Encadrement par un tuteur expérimenté et travail en méthodologie Agile (Scrum).;2026-03-04;1165 € / mois;11
61;Stage Ingénieur DevOps - H/F;19;24;Mise en place de pipelines CI/CD, gestion Docker et automatisation des déploiements. Encadrement par un tuteur expérimenté et travail en méthodologie Agile (Scrum).;2026-03-14;1268 € / mois;16
62;Stage Administrateur Systèmes - H/F;65;16;Maintenance des serveurs Linux, supervision et gestion des incidents. Encadrement par un tuteur expérimenté et travail en méthodologie Agile (Scrum).;2026-03-10;1117 € / mois;16
63;Stage Développeur Backend - H/F;85;19;Conception et développement d’API REST gestion des bases de données MySQL et optimisation des performances. Encadrement par un tuteur expérimenté et travail en méthodologie Agile (Scrum).;2025-12-09;1210 € / mois;17
64;Stage Testeur QA - H/F;2;6;Réalisation de tests fonctionnels et automatisés validation des livrables. Encadrement par un tuteur expérimenté et travail en méthodologie Agile (Scrum).;2025-12-04;857 € / mois;11
65;Stage Testeur QA - F/H;92;51;Réalisation de tests fonctionnels et automatisés validation des livrables. Encadrement par un tuteur expérimenté et travail en méthodologie Agile (Scrum).;2026-02-26;1219 € / mois;12
66;Stage Développeur Mobile - H/F;107;14;Développement d’applications mobiles Android/iOS en environnement agile. Encadrement par un tuteur expérimenté et travail en méthodologie Agile (Scrum).;2026-02-19;1268 € / mois;8
67;Stage Développeur Mobile - H/F;22;12;Développement d’applications mobiles Android/iOS en environnement agile. Encadrement par un tuteur expérimenté et travail en méthodologie Agile (Scrum).;2026-01-12;936 € / mois;21
68;Stage Développeur Frontend - F/H;79;5;Création d’interfaces utilisateur modernes en HTML CSS et JavaScript (React/Angular). Encadrement par un tuteur expérimenté et travail en méthodologie Agile (Scrum).;2025-11-30;812 € / mois;11
69;Stage Développeur Mobile - F/H;46;4;Développement d’applications mobiles Android/iOS en environnement agile. Encadrement par un tuteur expérimenté et travail en méthodologie Agile (Scrum).;2025-12-30;1145 € / mois;25
70;Stage Data Analyst - F/H;80;39;Analyse de données, création de dashboards et participation aux projets de data visualisation. Encadrement par un tuteur expérimenté.;2026-01-10;1201 € / mois;18
71;Stage Développeur Web Full Stack - H/F;86;52;Participation au développement d’applications web (PHP JavaScript), conception de fonctionnalités tests et maintenance.;2025-11-29;1292 € / mois;14
72;Stage Développeur Mobile - H/F;128;3;Développement d’applications mobiles Android/iOS en environnement agile. Encadrement par un tuteur expérimenté et travail en méthodologie Agile (Scrum).;2026-01-26;833 € / mois;12
73;Stage Développeur Frontend - H/F;52;15;Création d’interfaces utilisateur modernes en HTML CSS et JavaScript (React/Angular). Encadrement par un tuteur expérimenté et travail en méthodologie Agile (Scrum).;2025-11-27;1224 € / mois;10
74;Stage Testeur QA - H/F;103;37;Réalisation de tests fonctionnels et automatisés validation des livrables. Encadrement par un tuteur expérimenté et travail en méthodologie Agile (Scrum).;2025-12-20;1218 € / mois;21
75;Stage Administrateur Systèmes - H/F;1;50;Maintenance des serveurs Linux, supervision et gestion des incidents. Encadrement par un tuteur expérimenté et travail en méthodologie Agile (Scrum).;2026-01-24;821 € / mois;25
76;Stage Ingénieur DevOps - H/F;54;49;Mise en place de pipelines CI/CD, gestion Docker et automatisation des déploiements. Encadrement par un tuteur expérimenté et travail en méthodologie Agile (Scrum).;2026-03-17;879 € / mois;24
77;Stage Développeur Backend - H/F;106;1;Conception et développement d’API REST, gestion des bases de données MySQL et optimisation des performances. Encadrement par un tuteur expérimenté et travail en méthodologie Agile (Scrum).;2025-12-18;1252 € / mois;23
78;Stage Développeur Mobile - F/H;20;12;Développement d’applications mobiles Android/iOS en environnement agile. Encadrement par un tuteur expérimenté et travail en méthodologie Agile (Scrum).;2025-12-29;1136 € / mois;20
79;Stage Développeur Mobile - H/F;18;59;Développement d’applications mobiles Android/iOS en environnement agile. Encadrement par un tuteur expérimenté et travail en méthodologie Agile (Scrum).;2026-02-22;877 € / mois;12
80;Stage Ingénieur DevOps - F/H;131;28;Mise en place de pipelines CI/CD, gestion Docker et automatisation des déploiements. Encadrement par un tuteur expérimenté et travail en méthodologie Agile (Scrum).;2025-12-21;934 € / mois;17
